P코드순번,P코드,거래처명,시도명,시군구명,읍면동명,주소,대리점코드,대리점명,중복여부,점유비,P코드합계,대리점실적,,신규,MNP,기변,,MNO,MVNO,(MVNO비중),,번들,동판
PE39632,PE3963,(주)신진상사,경기,의정부시,녹양동,경기도 의정부시 녹양로 65,D13357,가능대리점,중복점,27.03%,111,30,,0,28,2,,10,18,64.29%,,0,0
PE39633,PE3963,(주)신진상사,경기,의정부시,녹양동,경기도 의정부시 녹양로 65,D13951,강남스타대리점,중복점,23.42%,111,26,,0,5,21,,5,0,0.00%,,0,3
PE90012,PE9001,명숙통신,경기,수원시 팔달구,매산로1가,경기도 수원시 팔달구 매산로 1,D13546,ACT대리점,중복점,14.41%,111,16,,0,1,15,,0,1,100.00%,,0,0
PE90013,PE9001,명숙통신,경기,수원시 팔달구,매산로1가,경기도 수원시 팔달구 매산로 1,D15157,근흥대리점,중복점,11.71%,111,13,,0,2,11,,2,0,0.00%,,0,1
PE39634,PE3963,(주)신진상사,경기,의정부시,녹양동,경기도 의정부시 녹양로 65,D15146,PS&M,중복점,0.90%,111,1,,0,0,1,,0,0,0.00%,,0,0
PE92151,PE9215,휴대폰 성지마블 시흥점,경기,시흥시,대야동,경기도 시흥시 은행로167번길 7,D13546,ACT대리점,수도권_전속,100.00%,109,109,,0,107,2,,19,88,82.24%,,0,0
PE85591,PE8559,하이플러스,서울,구로구,구로동,서울특별시 구로구 새말로 97,D13742,한유대리점,수도권_전속,100.00%,108,108,,0,10,98,,9,1,10.00%,,0,1
PE39861,PE3986,휴대폰 성지,경기,성남시 분당구,야탑동,경기도 성남시 분당구 성남대로925번길 11,D14674,서울ent대리점,수도권_전속,100.00%,107,107,,0,21,86,,15,6,28.57%,,0,4
PE71751,PE7175,휴대폰성지 굳폰 창동점,서울,도봉구,창동,서울특별시 도봉구 노해로 341,D14342,신창대리점,중복점,85.98%,107,92,,0,82,10,,33,49,59.76%,,0,6
PE71752,PE7175,휴대폰성지 굳폰 창동점,서울,도봉구,창동,서울특별시 도봉구 노해로 341,D13858,새서울대리점,중복점,14.02%,107,15,,0,0,15,,0,0,0.00%,,0,0
PE51831,PE5183,90폰,서울,구로구,구로동,서울특별시 구로구 새말로 97,D13965,대교대리점,수도권_전속,100.00%,106,106,,1,3,102,,2,1,33.33%,,0,0
PE92051,PE9205,발리모바일,경기,의정부시,신곡동,경기도 의정부시 동일로 468,D14674,서울ent대리점,중복점,74.04%,104,77,,0,1,76,,0,1,100.00%,,0,1
PE92052,PE9205,발리모바일,경기,의정부시,신곡동,경기도 의정부시 동일로 468,D15146,PS&M,중복점,23.08%,104,24,,0,1,23,,1,0,0.00%,,0,0
PE92053,PE9205,발리모바일,경기,의정부시,신곡동,경기도 의정부시 동일로 468,D15121,CD대리점,중복점,2.88%,104,3,,0,1,2,,1,0,0.00%,,0,0
P660901,P66090,에이스텔레콤2,경기,안산시 단원구,고잔동,경기도 안산시 단원구 광덕4로 220,D13225,광장대리점,수도권_전속,100.00%,103,103,,1,2,100,,2,0,0.00%,,0,1
P826671,P82667,따따봉,서울,강서구,화곡동,서울특별시 강서구 화곡로 282,D13951,강남스타대리점,중복점,98.96%,96,95,,0,66,29,,19,47,71.21%,,0,2
P826672,P82667,따따봉,서울,강서구,화곡동,서울특별시 강서구 화곡로 282,D13357,가능대리점,중복점,1.04%,96,1,,0,0,1,,0,0,0.00%,,0,0
P690231,P69023,한샘정보통신2매장,서울,노원구,상계동,서울특별시 노원구 동일로 1541,D15117,알파대리점,중복점,77.89%,95,74,,0,20,54,,18,2,10.00%,,0,4
PE72961,PE7296,휴대폰성지 펭귄모바일 판교점,경기,성남시 분당구,삼평동,경기도 성남시 분당구 판교역로241번길 22,D13965,대교대리점,중복점,66.32%,95,63,,0,4,59,,1,3,75.00%,,0,1
PE72962,PE7296,휴대폰성지 펭귄모바일 판교점,경기,성남시 분당구,삼평동,경기도 성남시 분당구 판교역로241번길 22,D13622,MD대리점,중복점,33.68%,95,32,,0,3,29,,3,0,0.00%,,0,0
P690232,P69023,한샘정보통신2매장,서울,노원구,상계동,서울특별시 노원구 동일로 1541,D15146,PS&M,중복점,22.11%,95,21,,0,1,20,,1,0,0.00%,,0,0
PE88481,PE8848,해동,서울,광진구,구의동,"서울 광진구 광나루로56길 85,",D13827,지은대리점,수도권_전속,100.00%,93,93,,0,93,0,,34,59,63.44%,,0,0
P843301,P84330,제이에스모바일,경기,부천시 원미구,상동,경기도 부천시 길주로 74,D13827,지은대리점,수도권_전속,100.00%,91,91,,0,55,36,,22,33,60.00%,,0,5
PE16581,PE1658,주식회사 잎슬,서울,영등포구,양평동4가,서울특별시 영등포구 선유로49길 23,D13542,삼보대리점,수도권_전속,100.00%,89,89,,1,1,87,,1,0,0.00%,,0,2
PE67061,PE6706,산척2,경기,화성시 동탄구,산척동,경기도 화성시 동탄대로 198,D13469,코넥,중복점,73.03%,89,65,,1,49,15,,47,2,4.08%,,0,22
PE69401,PE6940,휴대폰성지 굳폰 가산점,서울,금천구,가산동,서울특별시 금천구 가산디지털1로 168,D14746,유원대리점,중복점,41.57%,89,37,,0,0,37,,0,0,0.00%,,0,0
PE69402,PE6940,휴대폰성지 굳폰 가산점,서울,금천구,가산동,서울특별시 금천구 가산디지털1로 168,D13952,참스타대리점,중복점,30.34%,89,27,,0,1,26,,0,1,100.00%,,0,0
PE67062,PE6706,산척2,경기,화성시 동탄구,산척동,경기도 화성시 동탄대로 198,D13622,MD대리점,중복점,26.97%,89,24,,3,17,4,,16,1,5.88%,,0,13
PE69403,PE6940,휴대폰성지 굳폰 가산점,서울,금천구,가산동,서울특별시 금천구 가산디지털1로 168,D13858,새서울대리점,중복점,21.35%,89,19,,0,0,19,,0,0,0.00%,,0,0
PE69404,PE6940,휴대폰성지 굳폰 가산점,서울,금천구,가산동,서울특별시 금천구 가산디지털1로 168,D14342,신창대리점,중복점,6.74%,89,6,,0,0,6,,0,0,0.00%,,0,0
PC99861,PC9986,히어로즈 앤 도로시,경기,수원시 팔달구,매산로1가,경기 수원시 장안구 장안로7번길 32,D13952,참스타대리점,수도권_전속,100.00%,85,85,,0,85,0,,26,59,69.41%,,0,0
P939081,P93908,동탄휴대폰성지 도매폰센타,경기,화성시 동탄구,반송동,경기도 화성시 동탄솔빛로 53,D13965,대교대리점,중복점,67.06%,85,57,,0,7,50,,6,1,14.29%,,0,0
P939082,P93908,동탄휴대폰성지 도매폰센타,경기,화성시 동탄구,반송동,경기도 화성시 동탄솔빛로 53,D13469,코넥,중복점,29.41%,85,25,,0,10,15,,8,2,20.00%,,0,8
P939083,P93908,동탄휴대폰성지 도매폰센타,경기,화성시 동탄구,반송동,경기도 화성시 동탄솔빛로 53,D14674,서울ent대리점,중복점,3.53%,85,3,,0,0,3,,0,0,0.00%,,0,0
PC18251,PC1825,이다글로벌 남양주,경기,남양주시,평내동,경기도 남양주시 경춘로1256번길 20,D13622,MD대리점,중복점,59.52%,84,50,,2,39,9,,39,0,0.00%,,0,21
PC18252,PC1825,이다글로벌 남양주,경기,남양주시,평내동,경기도 남양주시 경춘로1256번길 20,D13469,코넥,중복점,40.48%,84,34,,0,29,5,,26,3,10.34%,,0,10
PE55931,PE5593,라인,서울,광진구,구의동,서울특별시 광진구 광나루로56길 85,D13225,광장대리점,수도권_전속,100.00%,83,83,,1,12,70,,12,0,0.00%,,1,4
P997841,P99784,삼원,서울,구로구,구로동,서울특별시 구로구 새말로 97,D13462,광운대리점,수도권_전속,100.00%,80,80,,1,14,65,,7,7,50.00%,,0,3
PE80711,PE8071,센터모바일,서울,구로구,구로동,서울특별시 구로구 새말로 97,D13225,광장대리점,수도권_전속,100.00%,80,80,,1,20,59,,14,6,30.00%,,0,3
PA60231,PA6023,주식회사 수호텔레콤,경기,광주시,경안동,경기도 광주시 중앙로 105,D14674,서울ent대리점,중복점,92.41%,79,73,,7,19,47,,18,1,5.26%,,0,1
PA60232,PA6023,주식회사 수호텔레콤,경기,광주시,경안동,경기도 광주시 중앙로 105,D13469,코넥,중복점,5.06%,79,4,,0,0,4,,0,0,0.00%,,0,0
PA60233,PA6023,주식회사 수호텔레콤,경기,광주시,경안동,경기도 광주시 중앙로 105,D13546,ACT대리점,중복점,2.53%,79,2,,0,0,2,,0,0,0.00%,,0,0
PC36841,PC3684,스카이통신,서울,강남구,대치동,서울특별시 강남구 삼성로 221,D13225,광장대리점,중복점,36.36%,77,28,,0,2,26,,2,0,0.00%,,0,1
PC36842,PC3684,스카이통신,서울,강남구,대치동,서울특별시 강남구 삼성로 221,D13827,지은대리점,중복점,28.57%,77,22,,0,4,18,,2,2,50.00%,,0,0
PC36843,PC3684,스카이통신,서울,강남구,대치동,서울특별시 강남구 삼성로 221,D15176,ACE대리점,중복점,25.97%,77,20,,0,2,18,,2,0,0.00%,,0,0
PC36844,PC3684,스카이통신,서울,강남구,대치동,서울특별시 강남구 삼성로 221,D15117,알파대리점,중복점,9.09%,77,7,,0,0,7,,0,0,0.00%,,0,0
PE48531,PE4853,두리곰정보통신,인천,부평구,부평동,인천광역시 부평구 부평대로 지하30,D13124,UNI대리점,수도권_전속,100.00%,76,76,,0,67,9,,24,43,64.18%,,0,3
PE68601,PE6860,피앤비,서울,구로구,구로동,서울특별시 구로구 새말로 97,D13225,광장대리점,수도권_전속,100.00%,76,76,,0,61,15,,19,42,68.85%,,0,1
PE86421,PE8642,주식회사 원리퍼블릭,경기,의정부시,의정부동,경기의정부시가능로162,D15146,PS&M,PS_전속,100.00%,76,76,,1,33,42,,19,14,42.42%,,0,0
PE84261,PE8426,휴대폰 성지 폰라운지 성남,경기,성남시 중원구,성남동,경기도 성남시 중원구 광명로 38,D13858,새서울대리점,수도권_전속,100.00%,75,75,,0,72,3,,24,48,66.67%,,0,5
P231571,P23157,숙지정보통신,경기,수원시 팔달구,화서동,경기도 수원시 팔달구 화양로 34,D13965,대교대리점,중복점,88.00%,75,66,,0,43,23,,21,22,51.16%,,0,6
PC96871,PC9687,휴대폰성지KR모바일송도호반2,인천,연수구,송도동,인천광역시 연수구 송도문화로28번길 27,D13546,ACT대리점,중복점,65.33%,75,49,,2,41,6,,40,1,2.44%,,0,15
PC96872,PC9687,휴대폰성지KR모바일송도호반2,인천,연수구,송도동,인천광역시 연수구 송도문화로28번길 27,D13965,대교대리점,중복점,17.33%,75,13,,0,3,10,,3,0,0.00%,,0,5
PC96873,PC9687,휴대폰성지KR모바일송도호반2,인천,연수구,송도동,인천광역시 연수구 송도문화로28번길 27,D14746,유원대리점,중복점,17.33%,75,13,,0,5,8,,5,0,0.00%,,0,8
P231572,P23157,숙지정보통신,경기,수원시 팔달구,화서동,경기도 수원시 팔달구 화양로 34,D15146,PS&M,중복점,12.00%,75,9,,0,5,4,,5,0,0.00%,,0,0
P507951,P50795,주식회사 수호,인천,남동구,논현동,인천광역시 남동구 논현역로 22,D13952,참스타대리점,수도권_전속,100.00%,74,74,,0,3,71,,1,2,66.67%,,0,2
PC82531,PC8253,휴대폰성지 옆커폰 안양호계점,경기,안양시 동안구,호계동,경기도 안양시 동안구 경수대로544번길 9,D14674,서울ent대리점,수도권_전속,100.00%,73,73,,1,42,30,,19,23,54.76%,,0,9
P864271,P86427,(주)엠케이아이엔씨,경기,성남시 중원구,성남동,경기도 성남시 중원구 산성대로 지하 204-5,D13469,코넥,중복점,86.30%,73,63,,0,8,55,,5,3,37.50%,,0,2
P864272,P86427,(주)엠케이아이엔씨,경기,성남시 중원구,성남동,경기도 성남시 중원구 산성대로 지하 204-5,D14674,서울ent대리점,중복점,13.70%,73,10,,10,0,0,,0,0,0.00%,,0,0
P182121,P18212,한희통신마천점,서울,송파구,마천동,서울특별시 송파구 마천로 271,D15146,PS&M,중복점,65.28%,72,47,,0,4,43,,2,2,50.00%,,0,0
P182122,P18212,한희통신마천점,서울,송파구,마천동,서울특별시 송파구 마천로 271,D13546,ACT대리점,중복점,34.72%,72,25,,2,3,20,,1,2,66.67%,,0,0
PE64521,PE6452,휴대폰성지 착한폰 인천점,인천,계양구,작전동,인천광역시 계양구 도두리로 74,D13827,지은대리점,중복점,77.46%,71,55,,0,0,55,,0,0,0.00%,,0,0
PE64522,PE6452,휴대폰성지 착한폰 인천점,인천,계양구,작전동,인천광역시 계양구 도두리로 74,D13951,강남스타대리점,중복점,22.54%,71,16,,0,0,16,,0,0,0.00%,,0,0
PE51691,PE5169,파주휴대폰성지 운정점,경기,파주시,목동동,경기도 파주시 청암로17번길 41,D13827,지은대리점,중복점,72.86%,70,51,,0,1,50,,1,0,0.00%,,0,0
PE43501,PE4350,더샵모바일,경기,의정부시,산곡동,경기도 의정부시 문화로 38,D13546,ACT대리점,중복점,64.29%,70,45,,1,11,33,,9,2,18.18%,,0,4
PE43502,PE4350,더샵모바일,경기,의정부시,산곡동,경기도 의정부시 문화로 38,D13858,새서울대리점,중복점,35.71%,70,25,,0,0,25,,0,0,0.00%,,0,0
PE51692,PE5169,파주휴대폰성지 운정점,경기,파주시,목동동,경기도 파주시 청암로17번길 41,D15146,PS&M,중복점,27.14%,70,19,,0,0,19,,0,0,0.00%,,0,0
P636991,P63699,대성F&C신천점,경기,시흥시,신천동,경기도 시흥시 수인로3409번길 40,D13622,MD대리점,수도권_전속,100.00%,68,68,,0,68,0,,1,67,98.53%,,0,3
PA66121,PA6612,휴대폰성지 1등폰 왕십리점,서울,성동구,행당동,서울특별시 성동구 왕십리로 309,D13542,삼보대리점,중복점,88.24%,68,60,,0,3,57,,2,1,33.33%,,0,0
PA66122,PA6612,휴대폰성지 1등폰 왕십리점,서울,성동구,행당동,서울특별시 성동구 왕십리로 309,D14342,신창대리점,중복점,10.29%,68,7,,0,2,5,,2,0,0.00%,,0,1
PA66123,PA6612,휴대폰성지 1등폰 왕십리점,서울,성동구,행당동,서울특별시 성동구 왕십리로 309,D13357,가능대리점,중복점,1.47%,68,1,,0,0,1,,0,0,0.00%,,0,0
PE49251,PE4925,휴대폰성지 우동폰 파주점,경기,파주시,동패동,경기도 파주시 청석로 260,D14342,신창대리점,수도권_전속,100.00%,65,65,,3,50,12,,25,25,50.00%,,0,6
PC71071,PC7107,휴대폰성지 사자폰 구리점,경기,구리시,교문동,경기도 구리시 이문안로 7,D13827,지은대리점,수도권_전속,100.00%,65,65,,0,0,65,,0,0,0.00%,,0,0
P966101,P96610,사과Two,경기,화성시 효행구,봉담읍,경기도 화성시 효행구 봉담읍 와우로73번길 6,D13124,UNI대리점,수도권_전속,100.00%,63,63,,9,13,41,,12,1,7.69%,,0,3
PE82981,PE8298,영통신,서울,구로구,구로동,서울특별시 구로구 새말로 97,D15157,근흥대리점,수도권_전속,100.00%,63,63,,0,5,58,,4,1,20.00%,,0,0
PE83891,PE8389,휴대폰 성지 폰슐랭 용인지점,경기,용인시 기흥구,중동,경기도 용인시 기흥구 동백죽전대로 444,D15157,근흥대리점,중복점,52.38%,63,33,,0,4,29,,1,3,75.00%,,0,0
PE83892,PE8389,휴대폰 성지 폰슐랭 용인지점,경기,용인시 기흥구,중동,경기도 용인시 기흥구 동백죽전대로 444,D13546,ACT대리점,중복점,47.62%,63,30,,0,1,29,,1,0,0.00%,,0,0
PE29461,PE2946,크레센도 모바일,경기,부천시 소사구,옥길동,경기도 부천시 양지로 229,D13622,MD대리점,수도권_전속,100.00%,60,60,,0,52,8,,8,44,84.62%,,0,1
PC92341,PC9234,인디고모바일,서울,중랑구,면목동,서울특별시 중랑구 면목로 437,D14674,서울ent대리점,중복점,74.14%,58,43,,0,3,40,,2,1,33.33%,,0,3
PC92342,PC9234,인디고모바일,서울,중랑구,면목동,서울특별시 중랑구 면목로 437,D15121,CD대리점,중복점,25.86%,58,15,,0,1,14,,1,0,0.00%,,0,1
P715591,P71559,지니커뮤니케이션,서울,양천구,신월동,서울특별시 양천구 신월로 167,D15157,근흥대리점,수도권_전속,100.00%,57,57,,1,34,22,,12,22,64.71%,,0,3
PC96411,PC9641,오라방텔레콤 센트럴돔점,경기,평택시,비전동,경기도 평택시 비전5로 10,D14674,서울ent대리점,수도권_전속,100.00%,57,57,,2,16,39,,16,0,0.00%,,0,10
PE83881,PE8388,휴대폰성지 말폰 안양,경기,안양시 만안구,안양동,경기도 안양시 만안구 만안로 219,D14674,서울ent대리점,수도권_전속,100.00%,57,57,,0,4,53,,2,2,50.00%,,0,0
PE05171,PE0517,휴대폰성지KR모바일송도호반점,인천,연수구,송도동,인천광역시 연수구 랜드마크로 20,D13546,ACT대리점,중복점,61.40%,57,35,,0,26,9,,26,0,0.00%,,0,5
PE05172,PE0517,휴대폰성지KR모바일송도호반점,인천,연수구,송도동,인천광역시 연수구 랜드마크로 20,D14746,유원대리점,중복점,28.07%,57,16,,0,6,10,,6,0,0.00%,,0,5
PE05173,PE0517,휴대폰성지KR모바일송도호반점,인천,연수구,송도동,인천광역시 연수구 랜드마크로 20,D13965,대교대리점,중복점,10.53%,57,6,,0,0,6,,0,0,0.00%,,0,3
PE76611,PE7661,휴대폰성지 펭귄모바일 가산점,서울,금천구,가산동,서울특별시 금천구 가산디지털1로 142,D13622,MD대리점,중복점,69.64%,56,39,,0,1,38,,0,1,100.00%,,0,0
PE56361,PE5636,휴대폰성지 판다폰 용현점,인천,미추홀구,용현동,인천광역시 미추홀구 용정공원로 33,D13951,강남스타대리점,중복점,55.36%,56,31,,0,24,7,,8,16,66.67%,,0,2
PE56362,PE5636,휴대폰성지 판다폰 용현점,인천,미추홀구,용현동,인천광역시 미추홀구 용정공원로 33,D13827,지은대리점,중복점,44.64%,56,25,,1,8,16,,7,1,12.50%,,0,5
